# go-pptx PERF-01 raw benchmark log
# timestamp: 2026-09-12T00:14:59Z
# go-version: go version go1.27.0 windows/amd64
# count: 10
# benchtime: default
# timeout: 30m
# bench: BenchmarkPerf
goos: windows
goarch: amd64
pkg: github.com/F31/go-pptx
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkPerfSaveDisk/10p-text-24     	     583	   1894105 ns/op	   7.64 MB/s	     14464 pkg-bytes	  125183 B/op	    1047 allocs/op
BenchmarkPerfSaveDisk/10p-text-24     	     692	   2061404 ns/op	   7.02 MB/s	     14464 pkg-bytes	  124143 B/op	    1047 allocs/op
BenchmarkPerfSaveDisk/10p-text-24     	     568	   1859293 ns/op	   7.78 MB/s	     14464 pkg-bytes	  127152 B/op	    1047 allocs/op
BenchmarkPerfSaveDisk/50p-image-24    	     234	   4876478 ns/op	  12.58 MB/s	     61356 pkg-bytes	  451060 B/op	    3689 allocs/op
BenchmarkPerfSaveDisk/50p-image-24    	     212	   4774352 ns/op	  12.85 MB/s	     61356 pkg-bytes	  451389 B/op	    3689 allocs/op
BenchmarkPerfSaveDisk/50p-image-24    	     228	   4883777 ns/op	  12.56 MB/s	     61356 pkg-bytes	  455142 B/op	    3689 allocs/op
BenchmarkPerfSaveDisk/50p-image-24    	     266	   4826351 ns/op	  12.71 MB/s	     61356 pkg-bytes	  458134 B/op	    3689 allocs/op
BenchmarkPerfSaveDisk/50p-image-24    	     268	   4943249 ns/op	  12.41 MB/s	     61356 pkg-bytes	  454526 B/op	    3689 allocs/op
BenchmarkPerfSaveDisk/50p-image-24    	     248	   4979373 ns/op	  12.32 MB/s	     61356 pkg-bytes	  458877 B/op	    3689 allocs/op
BenchmarkPerfSaveDisk/50p-image-24    	     236	   4592162 ns/op	  13.36 MB/s	     61356 pkg-bytes	  450823 B/op	    3689 allocs/op
BenchmarkPerfSaveDisk/50p-image-24    	     270	   4631228 ns/op	  13.25 MB/s	     61356 pkg-bytes	  453631 B/op	    3689 allocs/op
BenchmarkPerfSaveDisk/50p-image-24    	     300	   4437721 ns/op	  13.83 MB/s	     61356 pkg-bytes	  449369 B/op	    3689 allocs/op
BenchmarkPerfSaveDisk/50p-image-24    	     280	   4117921 ns/op	  14.90 MB/s	     61356 pkg-bytes	  458136 B/op	    3689 allocs/op
BenchmarkPerfSaveDisk/100p-media-24   	      18	  63238856 ns/op	 562.10 MB/s	  35546299 pkg-bytes	88859201 B/op	    8112 allocs/op
